CD4	134465009	134465009	3.77183139017158e-05
CD4	182970348	182970348	4.28356886468858e-05
CD4	182970460	182970460	4.28356886468858e-05
CD4	182971700	182971700	4.28356886468858e-05
CD4	182972124	182972124	4.28356886468858e-05
CD4	182974187	182974187	4.39156323328357e-05
CD4	182976208	182976208	4.39225116268049e-05
CD4	182976565	182976565	4.39225116268049e-05
CD4	182979076	182979076	4.56182295062084e-05
CD4	182980153	182980153	4.48803750276346e-05
CD4	245904392	245904392	1.15291866412704e-05
CD4	245904523	245904523	1.15290509524491e-05
CD4	245905944	245905944	3.19832695284772e-05
CD4	245906044	245906044	4.94491128062868e-06
CD4	245920582	245920582	2.42038398147491e-05
CD4	245922903	245922903	6.31241609381519e-06
CD4	245923113	245923113	7.25461907286216e-06
CD4	245923164	245923164	1.60424644637586e-05
CD4	245923224	245923224	2.30735845583831e-05
CD4	245923388	245923388	6.46079466735492e-06
CD4	245923417	245923417	6.45812711747325e-06
CD4	245924364	245924364	5.87576777341271e-06
CD4	245924775	245924775	1.90294910066379e-05
CD4	256898807	256898807	9.36452159126528e-06
CD4	285502181	285502181	3.29094812337135e-06
CD4	285519277	285519277	4.31718136314808e-05
CD4	285521651	285521651	4.31633339260777e-05
CD4	285522327	285522327	4.31718136314808e-05
CD4	289103921	289103921	1.04809284928086e-05
CD4	289108869	289108869	9.04398641360166e-06
CD4	289148560	289148560	7.35449290155473e-06
CD4	289212067	289212067	2.45889124581103e-06
CD4	289353141	289353141	1.80451400853864e-07
CD4	289382553	289382553	1.36987688512427e-06
CD4	289443091	289443091	4.2394296994185e-06
CD4	289453023	289453023	5.89187008274379e-06
CD4	289459598	289459598	5.85651949207354e-06
CD4	289474943	289474943	4.87194563355721e-06
CD4	289475863	289475863	2.51700925381932e-06
CD4	289476375	289476375	2.56039827897245e-06
CD4	289476950	289476950	1.22535607642353e-07
CD4	289479306	289479306	2.5188516513107e-06
CD4	289480834	289480834	2.53722643586247e-06
CD4	289485419	289485419	2.63625651059349e-06
CD4	289487024	289487024	2.72711321347637e-06
CD4	289492443	289492443	2.73714071283367e-06
CD4	289500236	289500236	2.56784917367547e-06
CD4	289502311	289502311	2.57334130385687e-06
CD4	289516727	289516727	2.38851691167684e-06
CD4	289523052	289523052	2.39143797905818e-06
CD4	289538558	289538558	2.44724421817106e-06
CD4	289539658	289539658	2.45635947295354e-06
CD4	289540003	289540003	2.45892055090937e-06
CD4	289544524	289544524	2.45786907233327e-06
CD4	289550089	289550089	6.60721517615189e-06
CD4	289557195	289557195	2.37216800583618e-06
CD4	289559732	289559732	2.37464374964437e-06
CD4	289566230	289566230	2.37120469802991e-06
CD4	289588835	289588835	2.26354404707766e-06
CD4	289599435	289599435	2.2008794953612e-06
CD4	289602061	289602061	2.19749121313367e-06
CD4	289608486	289608486	4.74969235421629e-06
CD4	289609510	289609510	4.77530541624016e-06
CD4	289611034	289611034	1.31979693765976e-06
CD4	289621728	289621728	1.32618845300408e-06
CD4	289622436	289622436	1.3560818470754e-06
CD4	289625020	289625020	1.32618845300408e-06
CD4	289625084	289625084	1.32618845300408e-06
CD4	289625091	289625091	1.19957877371598e-06
CD4	289626727	289626727	1.32618845300408e-06
CD4	289626989	289626989	1.32618845300408e-06
CD4	289627208	289627208	1.32618845300408e-06
CD4	289628764	289628764	1.32618845300408e-06
CD4	289629052	289629052	1.32686833070674e-06
CD4	289629090	289629090	1.32686833070674e-06
CD4	289631068	289631068	1.33019655436083e-06
CD4	289631124	289631124	1.33019655436083e-06
CD4	289632229	289632229	1.32618845300408e-06
CD4	289632519	289632519	1.32618845300408e-06
CD4	289632620	289632620	1.32618845300408e-06
CD4	289633340	289633340	1.33982068338051e-06
CD4	289633360	289633360	1.33982068338051e-06
CD4	289634534	289634534	1.32757654390629e-06
CD4	289643304	289643304	1.32649893229796e-06
CD4	289644167	289644167	1.32649893229796e-06
CD4	289644208	289644208	1.32618845300408e-06
CD4	289644716	289644716	1.32365710945186e-06
CD4	289646094	289646094	1.32365710945186e-06
CD4	289646183	289646183	1.32365710945186e-06
